address,zip,town,list_date,sold_date,days_on_market,list_price,sold_price,sold_vs_ask_abs,sold_vs_ask_pct,price_changes,sqft,beds,baths,lot_sqft,year_built,garage,solar,ac_type,property_type,county,municipality,prop_class,nu_code,conflicts,_sources,_fetched
32 RIDGE DR,07045,Montville,,2023-07-27,,,781000,,,,,,,14810,1988,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
111 KONNER AVE,07045,Montville,,2023-07-29,,,615000,,,,,,,20038,1958,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
34 CRESCENT RD,07045,Montville,,2023-08-03,,,799000,,,,,,,37897,1963,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
74 HOOK MT RD,07045,Montville,,2023-08-04,,,455000,,,,,,,16988,1952,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
4 FLETCHER DR,07045,Montville,,2023-08-08,,,925000,,,,,,,32104,1985,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
1 DEERHILL DR,07045,Montville,,2023-08-09,,,910000,,,,,,,27007,1970,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
24 KOKORA AVE,07045,Montville,,2023-08-11,,,1300000,,,,,,,32670,2023,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
56 BOONTON AVE,07045,Montville,,2023-08-11,,,735000,,,,,,,59242,1951,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
10 MASAR RD,07045,Montville,,2023-08-14,,,1575000,,,,,,,144227,1997,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
139 OLD CHANGE BRIDGE RD,07045,Montville,,2023-08-15,,,800000,,,,,,,68389,1995,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
36 GENOBLE RD,07045,Montville,,2023-08-15,,,150000,,,,,,,4356,1994,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
6 JOAN DR,07045,Montville,,2023-08-16,,,525000,,,,,,,21083,1961,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
66 TAYLORTOWN RD,07045,Montville,,2023-08-18,,,597000,,,,,,,105415,2022,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
11 OKLAHOMA AVE,07045,Montville,,2023-08-23,,,260000,,,,,,,10019,1918,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
55 EUGENE DR,07045,Montville,,2023-08-23,,,740000,,,,,,,4356,1996,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
5 CRANE DR,07045,Montville,,2023-08-25,,,740000,,,,,,,21780,1967,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
51 STONY BROOK RD,07045,Montville,,2023-08-25,,,950000,,,,,,,240451,1976,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
14 LAKE SHORE DR,07045,Montville,,2023-09-01,,,898000,,,,,,,27007,1959,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
14 GABRIEL DR,07045,Montville,,2023-09-08,,,560000,,,,,,,1960,1987,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
87 GENOBLE RD,07045,Montville,,2023-09-11,,,321000,,,,,,,4356,1994,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
9 WINDSOR DR,07045,Montville,,2023-09-11,,,2100000,,,,,,,46174,2023,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
8A RIVER RD,07045,Montville,,2023-09-13,,,780000,,,,,,,39204,1985,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
64 WOODMONT RD,07045,Montville,,2023-09-14,,,620000,,,,,,,27443,1957,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
28 SYLVAN DR,07045,Montville,,2023-09-19,,,954999,,,,,,,27443,1987,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
20B PASSAIC VALLEY RD,07045,Montville,,2023-09-20,,,1064473,,,,,,,85813,2023,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
21 LALIQUE DR,07045,Montville,,2023-09-23,,,815000,,,,2622,,,4356,1996,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
18 HELTON TER,07045,Montville,,2023-09-25,,,555000,,,,,,,4356,1992,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
72 WATERFORD DR,07045,Montville,,2023-09-25,,,795000,,,,,,,4356,1995,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
20 ROCKAWAY VALLEY RD,07045,Montville,,2023-09-26,,,920000,,,,,,,16553,1960,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
136 CHANGE BRIDGE UNIT D8,07045,Montville,,2023-09-27,,,334500,,,,,,,4269,1986,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
38 GENOBLE RD,07045,Montville,,2023-09-27,,,320000,,,,,,,4356,1994,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
47 EUGENE DR,07045,Montville,,2023-10-11,,,815000,,,,,,,4356,1996,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
212 CHANGE BRIDGE RD,07045,Montville,,2023-10-12,,,641000,,,,,,,20038,1953,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
6 HIXSON CT,07045,Montville,,2023-10-12,,,726000,,,,,,,14810,1995,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
12 SPRINGBROOK RD WEST,07045,Montville,,2023-10-13,,,550000,,,,,,,4356,1991,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
204 PINE BROOK RD,07045,Montville,,2023-10-17,,,411111,,,,,,,27007,1930,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
11 CAIN CT,07045,Montville,,2023-10-18,,,540000,,,,,,,13460,1992,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
15 FAWN DR,07045,Montville,,2023-10-18,,,925000,,,,,,,27878,1965,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
17 MAPLE AVE,07045,Montville,,2023-10-18,,,499000,,,,,,,6970,1938,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
79 CHANGE BRIDGE RD,07045,Montville,,2023-10-24,,,528000,,,,,,,17424,1940,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
47 RT 202,07045,Montville,,2023-10-25,,,473000,,,,,,,10454,1952,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
151 PINE BROOK RD,07045,Montville,,2023-10-30,,,570000,,,,,,,40075,1959,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
33 SPRINGBROOK RD WEST,07045,Montville,,2023-10-30,,,25000,,,,,,,4356,1991,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
25 AYNSLEY CT,07045,Montville,,2023-10-31,,,635000,,,,1983,,,4356,1996,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
3 OAK LN (PB),07045,Montville,,2023-11-01,,,950000,,,,,,,24829,1962,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
20 CABLE CT,07045,Montville,,2023-11-06,,,615000,,,,,,,14810,1986,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
31 BROMLEY RD,07045,Montville,,2023-11-08,,,1320000,,,,,,,47916,1993,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
30 KOKORA AVE,07045,Montville,,2023-11-14,,,1200000,,,,,,,30056,2023,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
840 RT 202,07045,Montville,,2023-11-14,,,786000,,,,,,,61855,1990,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
32 COBBLESTONE TER,07045,Montville,,2023-11-15,,,935000,,,,,,,17424,1995,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
9 MORRIS AVE,07045,Montville,,2023-11-15,,,525000,,,,,,,11587,1930,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
63 GENOBLE RD,07045,Montville,,2023-11-27,,,400000,,,,,,,4356,1991,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
7 AFTERGLOW WAY,07045,Montville,,2023-11-29,,,590000,,,,,,,9583,1934,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
128 KONNER AVE,07045,Montville,,2023-12-02,,,821000,,,,,,,21780,1969,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
12 LANCASTER AVE,07045,Montville,,2023-12-05,,,720000,,,,,,,17860,1967,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
21 JOHN HENRY DR,07045,Montville,,2023-12-05,,,765000,,,,,,,21344,1970,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
28 MICHELLE WAY,07045,Montville,,2023-12-05,,,1207500,,,,,,,35719,1998,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
43 OLD LN,07045,Montville,,2023-12-05,,,800000,,,,,,,27007,1981,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
53 EUGENE DR,07045,Montville,,2023-12-05,,,740000,,,,,,,4356,1996,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
79 WINDSOR DR,07045,Montville,,2023-12-05,,,1075000,,,,,,,37418,2002,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
17 ROCKAWAY VALLEY RD,07045,Montville,,2023-12-06,,,770000,,,,,,,48352,1983,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
8 JAMES TER,07045,Montville,,2023-12-07,,,322479,,,,,,,43560,1998,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
19 CHEYENNE DR,07045,Montville,,2023-12-11,,,1290000,,,,,,,45912,1985,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
71 REVERE CT,07045,Montville,,2023-12-11,,,69034,,,,,,,4356,1998,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
26 KOKORA AVE,07045,Montville,,2023-12-12,,,1200000,,,,,,,27443,2023,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
17 LAKEVIEW TER,07045,Montville,,2023-12-13,,,675000,,,,,,,14810,1994,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
22 GLEN TER,07045,Montville,,2023-12-14,,,760000,,,,,,,45477,1976,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
64 SPRINGBROOK RD EAST,07045,Montville,,2023-12-14,,,170945,,,,,,,4356,1995,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
13 WOODLAND RD,07045,Montville,,2023-12-15,,,1400000,,,,,,,67082,1952,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
18 SPRINGBROOK RD EAST,07045,Montville,,2023-12-18,,,73376,,,,,,,4356,1994,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
48 BLOOMFIELD AVE,07045,Montville,,2023-12-20,,,495800,,,,,,,6534,1910,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
30 SCHNEIDER LN,07045,Montville,,2023-12-21,,,1200000,,,,,,,75794,2005,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
7 HATHAWAY LN,07045,Montville,,2023-12-21,,,1275000,,,,,,,28662,2004,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
2 BIRCH PL,07045,Montville,,2023-12-28,,,1475000,,,,,,,37897,1958,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
33 JESSE CT,07045,Montville,,2023-12-29,,,575000,,,,,,,4356,1994,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
13 GABRIEL DR,07045,Montville,,2023-12-30,,,610000,,,,,,,1917,1985,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
136 CHANGE BRIDGE UNIT J6,07045,Montville,,2024-01-02,,,335000,,,,,,,4269,1984,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
28 KOKORA AVE,07045,Montville,,2024-01-02,,,1215000,,,,,,,27443,2023,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
3 LISA PL,07045,Montville,,2024-01-04,,,830000,,,,,,,19994,1969,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
9 JEFFERSON CT,07045,Montville,,2024-01-04,,,605000,,,,,,,13460,1993,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
38 ROCKLEDGE RD,07045,Montville,,2024-01-08,,,739000,,,,,,,36590,1962,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
16 MANCHESTER WAY,07045,Montville,,2024-01-11,,,675000,,,,,,,17424,1967,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
18 RENSHAW DR,07045,Montville,,2024-01-11,,,1163800,,,,,,,20909,1999,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
6 STRATFORD CT,07045,Montville,,2024-01-12,,,1100000,,,,,,,21911,1980,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
14 HELTON TER,07045,Montville,,2024-01-23,,,500000,,,,,,,4356,1992,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
37 TARA LN,07045,Montville,,2024-01-29,,,975000,,,,,,,44867,1970,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
22 BOGERT RD,07045,Montville,,2024-01-30,,,490000,,,,,,,21344,1957,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
58 BLOOMFIELD AVE,07045,Montville,,2024-02-02,,,875000,,,,,,,22651,1900,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
26 GATHERING RD,07045,Montville,,2024-02-05,,,850000,,,,,,,23958,1966,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
31 LENAPE DR,07045,Montville,,2024-02-06,,,885000,,,,,,,19994,1966,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
89 TAYLORTOWN RD,07045,Montville,,2024-02-12,,,944000,,,,,,,27007,1960,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
8 FREEDOM CT,07045,Montville,,2024-02-19,,,646000,,,,,,,13460,1993,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
26 COBBLESTONE TER,07045,Montville,,2024-02-28,,,955000,,,,,,,18295,1996,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
27 WEISS DR,07045,Montville,,2024-02-28,,,1301000,,,,,,,33280,1983,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
35 JESSE CT,07045,Montville,,2024-03-01,,,724900,,,,,,,4356,1990,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
105 PINE BROOK RD,07045,Montville,,2024-03-07,,,1100000,,,,,,,38333,1991,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
22 LALIQUE DR,07045,Montville,,2024-03-07,,,745000,,,,2316,,,4356,1996,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
9 HELTON TER,07045,Montville,,2024-03-08,,,145000,,,,,,,4356,1992,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
12 ECKHARDT CIR,07045,Montville,,2024-03-18,,,585000,,,,,,,13460,1992,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
5 MASAR RD,07045,Montville,,2024-03-20,,,1650000,,,,,,,132814,2002,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
6 STONEY POND WAY,07045,Montville,,2024-03-21,,,3625000,,,,,,,171104,2007,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
25 ADINA TER,07045,Montville,,2024-03-25,,,500000,,,,,,,1655,1986,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
16 PASSAIC VALLEY RD,07045,Montville,,2024-03-26,,,876000,,,,,,,44431,1935,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
50 WEDGEWOOD DR,07045,Montville,,2024-03-28,,,761000,,,,,,,4356,1999,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
12 GLENWOOD DR,07045,Montville,,2024-03-29,,,740000,,,,,,,18295,1977,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
9 VILLAGE DR,07045,Montville,,2024-04-04,,,772500,,,,,,,14810,1986,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
12 PEACH TREE DR,07045,Montville,,2024-04-09,,,1300000,,,,,,,30361,1980,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
23 VILLAGE DR,07045,Montville,,2024-04-09,,,790000,,,,,,,14810,1985,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
7 OLD LN,07045,Montville,,2024-04-12,,,1400000,,,,,,,37462,1992,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
11 LISA PL,07045,Montville,,2024-04-14,,,920000,,,,,,,23522,1971,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
1 OLD FARM CT,07045,Montville,,2024-04-18,,,999000,,,,,,,28488,1994,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
1 LAKEVIEW TER,07045,Montville,,2024-04-19,,,727000,,,,,,,14810,1994,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
8 LORRAINE DR,07045,Montville,,2024-04-19,,,1160000,,,,,,,23958,1976,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
14 MORRIS AVE,07045,Montville,,2024-04-22,,,630000,,,,,,,11326,1934,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
32 STONY BROOK RD,07045,Montville,,2024-04-26,,,787500,,,,,,,32234,1962,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
63 TAYLORTOWN RD,07045,Montville,,2024-04-30,,,1225400,,,,,,,32191,1992,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
32 BARK MILL TER,07045,Montville,,2024-05-02,,,785000,,,,,,,14810,1986,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
7 JOHN HENRY DR,07045,Montville,,2024-05-02,,,730000,,,,,,,17860,1963,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
86 KONNER AVE,07045,Montville,,2024-05-03,,,956000,,,,,,,20038,1961,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
66 DAVENPORT RD,07045,Montville,,2024-05-06,,,640000,,,,,,,4356,1995,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
2 STONEHENGE CT,07045,Montville,,2024-05-07,,,1580000,,,,,,,60113,1990,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
5 KINGSLAND RD,07045,Montville,,2024-05-07,,,825000,,,,,,,27443,1972,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
4 TUDOR PL,07045,Montville,,2024-05-09,,,885000,,,,,,,19863,1968,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
80 GABRIEL DR,07045,Montville,,2024-05-09,,,531000,,,,,,,1830,1987,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
85 TAYLORTOWN RD,07045,Montville,,2024-05-09,,,835000,,,,,,,28314,1957,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
38 SPRINGBROOK RD EAST,07045,Montville,,2024-05-14,,,525000,,,,,,,4356,1994,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
4 VANDERHOOF RD,07045,Montville,,2024-05-14,,,635000,,,,,,,4356,1995,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
18 LENOX CT,07045,Montville,,2024-05-16,,,579000,,,,,,,4356,1989,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
55 BOONTON AVE,07045,Montville,,2024-05-16,,,980000,,,,,,,269201,1956,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
7 BROMLEY CT,07045,Montville,,2024-05-16,,,850000,,,,,,,21824,1980,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
52 HOOK MT RD,07045,Montville,,2024-05-23,,,1025000,,,,,,,27443,1975,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
15 BOONTON AVE,07045,Montville,,2024-05-24,,,1110000,,,,,,,47045,1991,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
46 JESSE CT,07045,Montville,,2024-05-24,,,740000,,,,,,,4356,1993,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
8 RIVER RD,07045,Montville,,2024-05-27,,,675000,,,,,,,37026,1930,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
11 FLETCHER DR,07045,Montville,,2024-05-28,,,1237000,,,,,,,25178,1985,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
19 JESSE CT,07045,Montville,,2024-05-28,,,675000,,,,,,,4356,1992,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
22 GENOBLE RD,07045,Montville,,2024-05-29,,,325000,,,,,,,4356,1991,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
6 KANOUSE LN,07045,Montville,,2024-05-29,,,1375000,,,,,,,26005,2021,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
132 PINE BROOK RD,07045,Montville,,2024-05-30,,,825000,,,,,,,19994,1968,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
17 ARTHUR PL,07045,Montville,,2024-05-30,,,975000,,,,,,,27443,1981,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
27 SYLVAN DR,07045,Montville,,2024-05-31,,,1855000,,,,,,,47480,1987,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
35 TARA LN,07045,Montville,,2024-05-31,,,999999,,,,,,,47916,1970,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
33 GABRIEL DR,07045,Montville,,2024-06-03,,,576000,,,,,,,1786,1986,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
21 LAKEVIEW TER,07045,Montville,,2024-06-05,,,672300,,,,,,,14810,1994,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
16 GARRITY TER,07045,Montville,,2024-06-10,,,1175000,,,,,,,27007,1985,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
18 WOODMONT RD,07045,Montville,,2024-06-11,,,630000,,,,,,,30056,1956,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
16 LAKE SHORE DR,07045,Montville,,2024-06-12,,,990000,,,,,,,30928,1973,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
3 CHEROKEE CT,07045,Montville,,2024-06-12,,,940000,,,,,,,22651,1974,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
36 CHEYENNE DR,07045,Montville,,2024-06-14,,,1275000,,,,,,,78016,1985,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
1 SPRUCE LN,07045,Montville,,2024-06-17,,,700000,,,,,,,16553,1963,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
88 GENOBLE RD,07045,Montville,,2024-06-17,,,450000,,,,,,,4356,1994,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
34 BOONTON AVE,07045,Montville,,2024-06-18,,,719000,,,,,,,39204,1973,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
8 JEFFERSON CT,07045,Montville,,2024-06-20,,,652101,,,,,,,13460,1993,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
9 HORSENECK RD,07045,Montville,,2024-06-20,,,815000,,,,,,,33106,1957,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
38 BOGERT RD,07045,Montville,,2024-06-21,,,825000,,,,,,,24829,1966,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
5 LE MANS PL,07045,Montville,,2024-06-24,,,1178000,,,,,,,21780,1976,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
33 RIVER RD,07045,Montville,,2024-06-25,,,675000,,,,,,,12197,1948,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
72 REVERE CT,07045,Montville,,2024-06-25,,,113113,,,,,,,4356,1997,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
93 PASSAIC VALLEY RD,07045,Montville,,2024-06-26,,,835000,,,,,,,65296,1975,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
10 REVERE CT,07045,Montville,,2024-07-02,,,113338,,,,,,,4356,1997,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
20 TAYLORTOWN RD,07045,Montville,,2024-07-02,,,415000,,,,,,,3920,1880,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
21 QUARRY MOUNTAIN LN,07045,Montville,,2024-07-08,,,3100000,,,,,,,94525,2017,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
18 E CHERYL RD,07045,Montville,,2024-07-10,,,920000,,,,,,,21780,1977,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
79 REVERE CT,07045,Montville,,2024-07-10,,,103254,,,,,,,4356,1997,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
4 NAVAJO CT,07045,Montville,,2024-07-12,,,1380000,,,,,,,45738,1985,,,,Residential,MORRIS,MONTVILLE TWP,2,,,nj_records,2026-07-11
