"town_order","town","zip_order_within_town","zip_code","dist_mi","elementary_rating_1_to_10","elementary_composite_proficiency_pct","elementary_valid_test_scores","elementary_districts","middle_rating_1_to_10","middle_composite_proficiency_pct","middle_valid_test_scores","middle_districts","high_school_rating_1_to_10","high_school_composite_proficiency_pct","high_school_valid_test_scores","high_school_districts","rating_scope","assignment_note","school_year","rating_method","source_url"
"58","Mountain Lakes","1","07046","23","10","86.1","432","Mountain Lakes Public School District","10","86.0","424","Mountain Lakes Public School District","10","83.4","266","Mountain Lakes Public School District","Town/district-level proxy attached to the supplied ZIP label","Computed 2026-07-17. Mountain Lakes Public School District is K-12. District-level proxy based on the supplied town label; verify the exact attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"59","Franklin Lakes","1","07417","24","10","77.8","806","Franklin Lakes School District","9","72.1","647","Franklin Lakes School District","8","74.2","899","Ramapo Indian Hills Regional High School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"60","Towaco","1","07082","25","10","79.1","1664","Montville Township School District","9","74.1","1463","Montville Township School District","9","78.9","502","Montville Township School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"61","Randolph","1","07869","25","8","62.4","1944","Randolph Township School District","8","63.0","1681","Randolph Township School District","9","74.5","615","Randolph Township School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"62","Chester","1","07930","26","8","68.5","584","Chester Township School District","8","67.4","613","Chester Township School District","9","78.1","955","West Morris Regional High School District","Town/district-level proxy attached to the supplied ZIP label","07930 spans more than one municipality; this row follows the supplied Chester label and uses Chester Township School District plus West Morris Regional.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"63","Long Valley","1","07853","29","8","68.4","1300","Washington Township School District","8","68.8","1107","Washington Township School District","9","78.1","955","West Morris Regional High School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"64","Hanover Township","1","07981","13","8","64.2","824","Hanover Township School District","7","60.8","778","Hanover Township School District","","","","Hanover Park Regional High School District","Town/district-level proxy attached to the supplied ZIP label","HS from Hanover Park Regional (K-8 sending district). District blends two high schools; Whippany Park HS alone is 59.5% (n=284) vs Hanover Park HS 66.3% — the district figure flatters this town. HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"65","Parsippany-Troy Hills","1","07054","14","9","71.4","3187","Parsippany-Troy Hills Township School District","7","62.0","3112","Parsippany-Troy Hills Township School District","","","","Parsippany-Troy Hills Township School District","Town/district-level proxy attached to the supplied ZIP label","HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"66","Fairfield","1","07004","16","8","65.1","575","Fairfield Public School District","8","64.0","982","West Essex Regional School District","","","","West Essex Regional School District","Town/district-level proxy attached to the supplied ZIP label","Fairfield is a K-6 district: grades 7-8 AND high school come from West Essex Regional, matching how the other West Essex sending towns are already handled. HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"67","Mendham Township","1","07945","16","10","84.4","553","Mendham Township School District","10","94.8","440","Mendham Township School District","","","","West Morris Regional High School District","Town/district-level proxy attached to the supplied ZIP label","HS from West Morris Regional. District blends two high schools; West Morris Mendham HS alone is 71.4% (n=436) vs West Morris Central 63.2% — the district figure understates this town. HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"68","Woodland Park","1","07424","18","5","43.8","712","Woodland Park School District","4","41.9","690","Woodland Park School District","","","","Passaic Valley Regional High School District","Town/district-level proxy attached to the supplied ZIP label","HS from Passaic Valley Regional (shared with Totowa). HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"69","Totowa","1","07512","19","4","41.2","553","Totowa Public School District","5","49.4","569","Totowa Public School District","","","","Passaic Valley Regional High School District","Town/district-level proxy attached to the supplied ZIP label","HS from Passaic Valley Regional (shared with Woodland Park). HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"70","Wayne","1","07470","21","8","66.2","3447","Wayne Township Public School District","8","64.1","3351","Wayne Township Public School District","","","","Wayne Township Public School District","Town/district-level proxy attached to the supplied ZIP label","HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"71","Elmwood Park","1","07407","21","4","41.9","1129","Elmwood Park School District","3","34.3","1105","Elmwood Park School District","","","","Elmwood Park School District","Town/district-level proxy attached to the supplied ZIP label","HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"72","Pompton Plains","1","07444","22","9","72.2","930","Pequannock Township School District","8","67.1","879","Pequannock Township School District","","","","Pequannock Township School District","Town/district-level proxy attached to the supplied ZIP label","Pompton Plains is a section of Pequannock Township; ratings are the Pequannock district. HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"73","North Haledon","1","07508","22","5","46.4","399","North Haledon School District","7","58.2","366","North Haledon School District","","","","Passaic County Manchester Regional High School District","Town/district-level proxy attached to the supplied ZIP label","HS from Manchester Regional (shared with Haledon). HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"74","Haledon","1","07508","22","2","31.3","649","Haledon Public School District","2","32.1","619","Haledon Public School District","","","","Passaic County Manchester Regional High School District","Town/district-level proxy attached to the supplied ZIP label","HS from Manchester Regional (shared with North Haledon). HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"75","Pompton Lakes","1","07442","24","7","57.5","660","Pompton Lakes School District","7","56.8","678","Pompton Lakes School District","","","","Pompton Lakes School District","Town/district-level proxy attached to the supplied ZIP label","HIGH SCHOOL DELIBERATELY BLANK. The existing 63 towns' high_school_* figures could not be reproduced from the 2024-25 NJSLA files this file cites -- 37 of 40 districts matched no subset of ELA09/ALG01/GEO01/ALG02/SC11 at any grain -- so the original HS column came from some other source. Computing these towns' HS by a different rule would put an incomparable number next to 63 towns' worth of the old one, so it is left empty until the original HS method is recovered. Elementary and middle ARE directly comparable: the method was reverse-engineered and reproduces 128/130 existing ratings exactly.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
